model_short,model_full,features,mean_acc,std_acc,mean_f1,std_f1,n_subjects
Simple Cnn,Simple Cnn,Raw EMG,0.35934300053922763,0.08545635684611351,0.333214453972129,0.09063837196309259,20
Bigru,Bigru,Raw EMG,0.3566409349071022,0.07783817026269983,0.33493517458712746,0.08047000067158407,20
Multiscale Cnn,Multiscale Cnn,Raw EMG,0.35534513568939186,0.08116685651868716,0.3343215507751386,0.08817051599014916,20
Cnn Gru Attention,Cnn Gru Attention,Raw EMG,0.34794191467939756,0.08843046634864574,0.3310864094452572,0.09050673341424476,20
Attention Cnn,Attention Cnn,Raw EMG,0.34153400176511617,0.08033455124800677,0.31140784667429106,0.08685774473341255,20
Bilstm Attention,Bilstm Attention,Raw EMG,0.34016905686871546,0.07760760343078954,0.31947265995723434,0.08079918943824739,20
Tcn,Tcn,Raw EMG,0.2674590025230822,0.07399348073802198,0.23089803292479072,0.06933239129368715,20
Tcn Attn,Tcn Attn,Raw EMG,0.2550235636597743,0.13495702136273732,0.20756284859590593,0.15968675033258978,20
Bilstm,Bilstm,Raw EMG,0.21419124645256699,0.10405062614238171,0.15968288449795617,0.12598656451616977,20
Svm Linear,Svm Linear,TD features,0.352376119386853,0.08926283534976312,0.325005604337144,0.09425241917592501,20
Svm Rbf,Svm Rbf,TD features,0.34458194076550247,0.07197035456433137,0.3260366940462282,0.07706657332848697,20
Hybrid Powerful Deep,Hybrid Powerful Deep,TD features,0.33920512905954253,0.07201149410311636,0.31695959585227934,0.07028305936042341,20
Mlp Powerful,Mlp Powerful,TD features,0.33821567448822876,0.07417996856173824,0.315684269236664,0.0727455787446806,20
Bigru,Bigru,TD features,0.32703794433919675,0.07228651469274636,0.3070061935346115,0.07971868944443318,20
Rf,Rf,TD features,0.3199302572034798,0.06483251430874946,0.3032480645669572,0.06992744652644702,20
Tcn Attn,Tcn Attn,TD features,0.31918801422475684,0.06657331497616799,0.30157042413973184,0.07044183194496956,20
Bilstm Attention,Bilstm Attention,TD features,0.3081461439675114,0.06400539192478392,0.29414420949099895,0.07046484499335078,20
Bilstm,Bilstm,TD features,0.30660515087971907,0.0625827432731631,0.29195382119603036,0.06905712720746819,20
Cnn Lstm,Cnn Lstm,TD features,0.2980226687008608,0.05474857912079678,0.2792608209517063,0.056648538037448105,20
Cnn Gru Attention,Cnn Gru Attention,TD features,0.2941879012772052,0.05123549685333026,0.2659716106678588,0.06096733784154502,20
Multiscale Cnn,Multiscale Cnn,TD features,0.2832172373596847,0.05786533537694473,0.26139860093817663,0.06236238496815888,20
Simple Cnn,Simple Cnn,TD features,0.27940792773855055,0.053323425646803105,0.25606022382419324,0.05901697986183953,20
Attention Cnn,Attention Cnn,TD features,0.2781328137489974,0.0524851904091281,0.249318792197014,0.05126356351763566,20
Attention Cnn,Attention Cnn,TD features,0.2757735238342345,0.05421096581041086,0.24685880033837487,0.05926016347294553,20
